0,1,1,1,1,1
1,1,1,1,1,1
2,1,0,1,1,1
3,2,2,1,2,2
4,2,2,0,2,2
5,2,2,1,2,2
6,2,2,1,2,2
7,2,1,2,2,2
8,2,0,2,2,2
9,2,0,0,2,2
10,1,0,0,2,1
11,1,2,0,2,1
12,1,0,0,2,1
13,1,1,0,2,1
14,1,3,0,2,1
15,1,2,0,2,1
16,1,1,2,2,1
17,1,1,0,2,1
18,1,2,1,2,1
19,1,1,3,2,1
20,1,2,1,2,1
21,1,1,0,2,1
22,1,1,0,2,1
23,1,0,0,2,1
24,0,1,0,2,0
25,0,1,0,2,0
26,0,2,1,2,0
27,0,0,1,2,0
28,0,1,0,2,0
29,0,3,0,2,0
30,0,1,2,2,0
31,0,4,1,2,0
32,0,0,0,2,0
33,0,1,0,2,0
34,0,2,0,2,0
35,0,3,0,2,0
36,0,2,1,2,0
37,0,1,1,2,0
38,0,2,1,2,0
39,0,0,0,2,0
40,0,1,0,2,0
41,0,1,1,2,0
42,0,1,0,2,0
43,0,1,0,2,0
44,0,1,0,2,0
45,0,2,0,2,0
46,0,2,1,2,0
47,0,2,1,2,0
48,0,1,1,2,0
49,0,1,0,2,0
50,0,1,0,2,0
51,0,2,0,2,0
52,0,0,0,2,0
53,0,1,1,2,0
54,0,1,1,2,0
55,0,1,2,2,0
56,0,3,0,2,0
57,0,2,0,2,0
58,0,1,1,2,0
59,0,2,0,2,0
60,0,0,0,2,0
61,0,4,0,2,0
62,0,2,0,2,0
63,0,0,0,2,0
64,0,1,0,2,0
65,0,2,0,2,0
66,0,1,0,2,0
67,0,0,0,2,0
68,0,2,0,2,0
69,0,1,0,2,0
70,0,0,0,2,0
71,0,2,1,2,0
72,0,1,0,2,0
73,0,2,0,2,0
74,0,0,0,2,0
75,0,2,0,2,0
76,0,1,0,2,0
77,0,1,0,2,0
78,0,1,0,2,0
79,0,1,0,2,0
80,0,2,1,2,0
81,0,2,1,2,0
82,0,3,1,2,0
83,0,0,1,2,0
84,0,3,0,2,0
85,0,0,0,2,0
86,0,2,0,2,0
87,0,1,0,2,0
88,0,2,0,2,0
89,0,2,0,2,0
90,0,0,0,2,0
91,0,0,0,2,0
