0,1,0,1,1,1
1,1,1,0,1,1
2,1,1,0,1,1
3,1,0,0,1,1
4,1,0,0,1,1
5,2,0,1,2,2
6,2,1,1,2,2
7,2,1,0,2,2
8,2,0,0,2,2
9,2,0,0,2,2
10,2,2,0,2,2
11,2,1,1,2,2
12,2,1,0,2,2
13,2,0,0,2,2
14,2,2,0,2,2
15,2,3,0,2,2
16,2,1,0,2,2
17,2,0,0,2,2
18,2,1,0,2,2
19,2,4,0,2,2
20,2,0,0,2,2
21,2,1,0,2,2
22,2,0,0,2,2
23,2,1,0,2,2
24,2,1,0,2,2
25,2,1,0,2,2
26,2,0,0,2,2
27,2,1,0,2,2
28,2,1,1,2,2
29,2,1,0,2,2
30,2,1,0,2,2
31,2,1,0,2,2
32,2,1,0,2,2
33,2,0,0,2,2
34,2,0,0,2,2
35,2,3,0,2,2
36,2,1,0,2,2
37,2,0,0,2,2
38,2,1,0,2,2
39,2,4,0,2,2
40,2,2,0,2,2
41,2,0,0,2,2
42,2,1,0,2,2
43,2,2,0,2,2
44,2,1,0,2,2
45,2,1,0,2,2
46,2,0,0,2,2
47,2,0,0,2,2
48,2,1,0,2,2
49,2,2,0,2,2
50,2,1,1,2,2
51,2,1,0,2,2
52,2,1,0,2,2
53,2,2,0,2,2
54,2,3,0,2,2
55,2,1,0,2,2
56,2,2,0,2,2
57,2,1,0,2,2
58,2,1,0,2,2
59,2,1,0,2,2
60,2,2,0,2,2
61,2,0,0,2,2
62,2,1,0,2,2
63,2,0,0,2,2
64,2,0,0,2,2
65,2,0,0,2,2
66,2,1,0,2,2
67,2,0,0,2,2
68,2,3,0,2,2
69,2,1,0,2,2
70,2,2,0,2,2
71,2,2,0,2,2
72,2,2,0,2,2
73,2,3,1,2,2
74,2,0,0,2,2
75,2,1,0,2,2
76,2,0,0,2,2
77,2,0,0,2,2
78,2,1,0,2,2
79,2,2,0,2,2
80,2,1,0,2,2
81,2,1,1,2,2
82,2,1,0,2,2
83,2,0,0,2,2
84,2,3,0,2,2
85,2,0,0,2,2
86,2,0,0,2,2
87,2,3,0,2,2
88,2,1,0,2,2
89,2,0,0,2,2
90,2,3,0,2,2
91,2,1,0,2,2
92,2,0,0,2,2
93,2,2,0,2,2
94,2,3,0,2,2
95,2,1,0,2,2
96,2,1,1,2,2
97,2,2,1,2,2
98,2,1,0,2,2
99,2,1,0,2,2
100,2,2,0,2,2
101,2,1,0,2,2
102,2,0,0,2,2
103,2,4,0,2,2
104,2,0,1,2,2
105,2,0,0,2,2
106,2,0,1,2,2
107,2,0,1,2,2
