0,1,1,1,1,1
1,1,0,1,1,1
2,1,1,0,1,1
3,2,1,0,2,2
4,2,0,0,2,2
5,2,2,2,2,2
6,2,0,2,2,2
7,2,2,0,2,2
8,1,1,0,2,1
9,1,1,0,2,1
10,1,6,0,2,1
11,1,3,0,2,1
12,1,3,2,2,1
13,1,2,1,2,1
14,1,1,1,2,1
15,1,1,0,2,1
16,0,0,0,2,0
17,0,0,1,2,0
18,0,1,0,2,0
19,0,0,1,2,0
20,0,1,2,2,0
21,0,0,1,2,0
22,0,1,0,2,0
23,0,0,1,2,0
24,0,1,0,2,0
25,0,2,0,2,0
26,0,3,0,2,0
27,0,0,0,2,0
28,0,0,0,2,0
29,0,2,1,2,0
30,0,1,0,2,0
31,0,2,0,2,0
32,0,1,0,2,0
33,0,2,0,2,0
34,0,1,1,2,0
35,0,4,0,2,0
36,0,4,1,2,0
37,0,1,2,2,0
38,0,1,0,2,0
39,0,3,0,2,0
40,0,4,3,2,0
41,0,2,0,2,0
42,0,3,0,2,0
43,0,1,0,2,0
44,0,1,0,2,0
45,0,0,1,2,0
46,0,0,0,2,0
47,0,1,1,2,0
48,0,0,0,2,0
49,0,2,0,2,0
50,0,5,1,2,0
51,0,2,0,2,0
52,0,0,0,2,0
53,0,2,0,2,0
54,0,0,0,2,0
55,0,2,0,2,0
56,0,1,0,2,0
57,0,1,0,2,0
58,0,0,1,2,0
59,0,2,0,2,0
60,0,2,0,2,0
61,0,2,0,2,0
62,0,2,1,2,0
63,0,1,1,2,0
64,0,1,1,2,0
65,0,1,0,2,0
66,0,1,0,2,0
67,0,1,1,2,0
68,0,2,0,2,0
69,0,0,0,2,0
70,0,2,0,2,0
71,0,2,1,2,0
72,0,2,0,2,0
73,0,4,1,2,0
74,0,1,0,2,0
75,0,0,0,2,0
76,0,2,1,2,0
77,0,1,0,2,0
78,0,3,0,2,0
79,0,0,0,2,0
80,0,1,0,2,0
81,0,2,1,2,0
82,0,1,0,2,0
83,0,1,1,2,0
84,0,0,1,2,0
85,0,2,1,2,0
86,0,1,0,2,0
87,0,0,0,2,0
88,0,0,0,2,0
89,0,1,0,2,0
90,0,1,0,2,0
91,0,0,0,2,0
92,0,0,1,2,0
93,0,0,1,2,0
94,0,0,1,2,0
95,0,1,0,2,0
96,0,2,0,2,0
97,0,2,0,2,0
98,0,2,0,2,0
99,0,0,0,2,0
100,0,1,1,2,0
101,0,2,0,2,0
102,0,0,0,2,0
103,0,0,0,2,0
104,0,0,0,2,0
105,0,3,0,2,0
106,0,1,0,2,0
107,0,2,0,2,0
108,0,2,0,2,0
109,0,2,0,2,0
110,0,3,0,2,0
111,0,2,1,2,0
112,0,1,1,2,0
113,0,0,0,2,0
114,0,1,2,2,0
115,0,2,0,2,0
116,0,3,0,2,0
117,0,0,0,2,0
118,0,2,0,2,0
119,0,0,0,2,0
120,0,2,0,2,0
121,0,2,1,2,0
122,0,2,0,2,0
123,0,2,3,2,0
124,0,1,1,2,0
125,0,0,1,2,0
126,0,3,0,2,0
127,0,1,1,2,0
128,0,1,0,2,0
129,0,2,0,2,0
130,0,3,1,2,0
131,0,3,0,2,0
132,0,2,1,2,0
133,0,1,1,2,0
134,0,1,3,2,0
135,0,0,0,2,0
136,0,1,0,2,0
137,0,0,0,2,0
138,0,0,0,2,0
139,0,0,0,2,0
140,0,2,0,2,0
141,0,2,0,2,0
142,0,1,0,2,0
143,0,1,0,2,0
144,0,1,1,2,0
145,0,1,1,2,0
146,0,1,0,2,0
147,0,3,0,2,0
148,0,1,1,2,0
149,0,1,0,2,0
150,0,1,0,2,0
151,0,2,0,2,0
152,0,0,1,2,0
153,0,2,0,2,0
154,0,2,1,2,0
155,0,2,0,2,0
156,0,1,0,2,0
157,0,0,1,2,0
158,0,2,0,2,0
159,0,0,0,2,0
160,0,1,0,2,0
161,0,4,0,2,0
162,0,2,0,2,0
163,0,3,0,2,0
164,0,0,0,2,0
165,0,1,0,2,0
166,0,1,1,2,0
167,0,2,1,2,0
168,0,2,0,2,0
169,0,1,0,2,0
170,0,0,0,2,0
171,0,2,0,2,0
172,0,1,0,2,0
173,0,2,0,2,0
174,0,0,1,2,0
175,0,1,0,2,0
176,0,1,0,2,0
177,0,0,0,2,0
178,0,0,1,2,0
179,0,1,0,2,0
180,0,0,0,2,0
181,0,0,2,2,0
182,0,1,0,2,0
183,0,3,0,2,0
184,0,1,0,2,0
185,0,5,0,2,0
186,0,0,0,2,0
187,0,2,1,2,0
188,0,2,0,2,0
189,0,2,1,2,0
190,0,0,0,2,0
191,0,1,0,2,0
192,0,0,1,2,0
193,0,3,1,2,0
194,0,2,1,2,0
195,0,1,0,2,0
196,0,2,1,2,0
197,0,0,1,2,0
198,0,1,0,2,0
199,0,4,0,2,0
200,0,5,1,2,0
201,0,2,1,2,0
202,0,3,0,2,0
203,0,3,0,2,0
204,0,2,0,2,0
205,0,1,0,2,0
206,0,0,0,2,0
207,0,3,1,2,0
208,0,1,3,2,0
209,0,2,0,2,0
210,0,1,0,2,0
211,0,1,0,2,0
212,0,0,0,2,0
213,0,0,0,2,0
214,0,0,0,2,0
215,0,2,0,2,0
216,0,1,1,2,0
217,0,4,1,2,0
218,0,2,1,2,0
219,0,2,1,2,0
220,0,3,1,2,0
221,0,1,0,2,0
222,0,0,0,2,0
223,0,1,0,2,0
224,0,2,1,2,0
225,0,1,1,2,0
226,0,2,0,2,0
227,0,1,2,2,0
228,0,1,0,2,0
229,0,2,0,2,0
230,0,1,1,2,0
231,0,4,0,2,0
232,0,1,1,2,0
233,0,0,0,2,0
234,0,2,3,2,0
235,0,3,1,2,0
236,0,3,0,2,0
237,0,0,0,2,0
238,0,1,0,2,0
239,0,0,0,2,0
240,0,2,0,2,0
241,0,2,0,2,0
242,0,1,0,2,0
243,0,0,0,2,0
244,0,2,0,2,0
245,0,0,0,2,0
246,0,2,0,2,0
247,0,2,0,2,0
248,0,0,0,2,0
249,0,1,0,2,0
250,0,1,0,2,0
251,0,1,0,2,0
252,0,2,0,2,0
253,0,0,1,2,0
254,0,1,0,2,0
255,0,2,0,2,0
256,0,2,0,2,0
257,0,2,0,2,0
258,0,1,0,2,0
259,0,1,0,2,0
260,0,0,0,2,0
261,0,3,0,2,0
262,0,0,0,2,0
263,0,2,0,2,0
264,0,2,0,2,0
265,0,2,1,2,0
266,0,3,0,2,0
267,0,0,0,2,0
268,0,2,1,2,0
269,0,2,0,2,0
270,0,3,0,2,0
271,0,0,1,2,0
272,0,2,0,2,0
273,0,2,0,2,0
274,0,1,0,2,0
275,0,3,1,2,0
276,0,1,0,2,0
277,0,1,1,2,0
278,0,1,0,2,0
279,0,1,0,2,0
280,0,1,1,2,0
281,0,2,1,2,0
282,0,2,0,2,0
283,0,0,0,2,0
284,0,2,1,2,0
285,0,2,1,2,0
286,0,2,1,2,0
287,0,2,0,2,0
288,0,2,0,2,0
289,0,1,1,2,0
290,0,3,0,2,0
291,0,1,0,2,0
292,0,1,0,2,0
293,0,1,0,2,0
294,0,1,1,2,0
295,0,1,1,2,0
296,0,3,0,2,0
297,0,0,1,2,0
298,0,2,0,2,0
299,0,3,0,2,0
300,0,0,0,2,0
301,0,3,1,2,0
302,0,0,0,2,0
303,0,1,1,2,0
304,0,3,0,2,0
305,0,0,0,2,0
306,0,3,1,2,0
307,0,1,0,2,0
308,0,2,0,2,0
309,0,3,0,1,0
310,0,1,0,1,0
311,0,3,0,1,0
312,0,1,0,1,0
313,0,0,0,1,0
314,0,1,1,1,0
315,0,1,1,1,0
316,0,1,0,1,0
317,0,0,1,0,0
318,0,1,0,0,0
319,0,2,0,0,0
320,0,1,0,0,0
321,0,1,0,0,0
322,0,0,1,0,0
323,0,3,1,0,0
324,0,0,1,0,0
325,0,3,0,0,0
326,0,0,1,0,0
327,0,1,1,0,0
328,0,4,1,0,0
329,0,1,0,0,0
330,0,4,0,0,0
331,0,0,1,0,0
332,0,2,0,0,0
333,0,3,0,0,0
334,0,0,1,0,0
335,0,3,0,0,0
336,0,0,0,0,0
337,0,1,0,0,0
338,0,3,0,0,0
339,0,1,1,0,0
340,0,2,2,0,0
341,0,1,0,0,0
342,0,0,0,0,0
343,0,2,0,0,0
344,0,0,1,0,0
345,0,3,1,0,0
346,0,1,0,0,0
347,0,1,0,0,0
348,0,1,0,0,0
349,0,1,0,0,0
350,0,2,1,0,0
351,0,1,0,0,0
352,0,2,2,0,0
353,0,3,0,0,0
354,0,3,1,0,0
355,0,2,1,0,0
356,0,1,1,0,0
357,0,0,0,0,0
358,0,2,0,0,0
359,0,1,0,0,0
360,0,1,1,0,0
361,0,2,1,0,0
362,0,2,1,0,0
363,0,1,0,0,0
364,0,2,0,0,0
365,0,2,0,0,0
366,0,1,1,0,0
367,0,1,0,0,0
368,0,1,0,0,0
369,0,3,0,0,0
370,0,1,1,0,0
371,0,3,0,0,0
372,0,1,0,0,0
373,0,2,0,0,0
374,0,2,1,0,0
375,0,1,2,0,0
376,0,0,0,0,0
377,0,0,1,0,0
378,0,1,0,0,0
379,0,1,0,0,0
380,0,4,0,0,0
381,0,2,0,0,0
382,0,2,0,0,0
383,0,0,0,0,0
384,0,0,0,0,0
385,0,1,0,0,0
386,0,3,0,0,0
387,0,3,2,0,0
388,0,2,0,0,0
389,0,1,1,0,0
390,0,1,1,0,0
391,0,4,1,0,0
392,0,0,0,0,0
393,0,2,0,0,0
394,0,1,1,0,0
395,0,0,1,0,0
396,0,0,0,0,0
397,0,0,1,0,0
398,0,2,0,0,0
399,0,1,1,0,0
400,0,1,0,0,0
401,0,5,1,0,0
402,0,1,0,0,0
403,0,1,0,0,0
404,0,1,0,0,0
405,0,3,0,0,0
406,0,1,0,0,0
407,0,1,1,0,0
408,0,1,0,0,0
409,0,0,0,0,0
410,0,2,0,0,0
411,0,0,0,0,0
412,0,3,1,0,0
413,0,2,1,0,0
414,0,4,0,0,0
415,0,0,0,0,0
416,0,1,1,0,0
417,0,2,0,0,0
418,0,3,0,0,0
419,0,4,0,0,0
420,0,4,0,0,0
421,0,0,0,0,0
422,0,1,0,0,0
423,0,0,0,0,0
424,0,1,0,0,0
425,0,2,0,0,0
426,0,2,0,0,0
427,0,3,1,0,0
428,0,3,0,0,0
429,0,0,0,0,0
430,0,3,0,0,0
431,0,1,0,0,0
432,0,3,0,0,0
433,0,2,0,0,0
434,0,3,1,0,0
435,0,1,0,0,0
436,0,0,0,0,0
437,0,1,0,0,0
438,0,3,0,0,0
439,0,2,0,0,0
440,0,0,0,0,0
441,0,0,2,0,0
442,0,2,1,0,0
443,0,1,3,0,0
444,0,2,1,0,0
445,0,2,0,0,0
446,0,2,1,0,0
447,0,0,0,0,0
448,0,1,0,0,0
449,0,0,0,0,0
450,0,2,1,0,0
451,0,1,0,0,0
452,0,2,1,0,0
453,0,3,0,0,0
454,0,1,1,0,0
455,0,3,1,0,0
456,0,1,0,0,0
457,0,0,0,0,0
458,0,2,1,0,0
459,0,1,0,0,0
460,0,1,0,0,0
461,0,1,2,0,0
462,0,1,1,0,0
463,0,3,0,0,0
464,0,1,0,0,0
465,0,1,0,0,0
466,0,1,0,0,0
467,0,3,0,0,0
468,0,2,0,0,0
469,0,3,0,0,0
470,0,1,0,0,0
471,0,2,1,0,0
472,0,1,0,0,0
473,0,0,0,0,0
474,0,0,0,0,0
475,0,2,0,0,0
476,0,3,0,0,0
477,0,4,1,0,0
478,0,3,1,0,0
479,0,1,1,0,0
480,0,2,0,0,0
481,0,0,0,0,0
482,0,1,0,0,0
483,0,4,0,0,0
484,0,0,0,0,0
485,0,1,0,0,0
486,0,2,0,0,0
487,0,2,1,0,0
488,0,2,0,0,0
489,0,0,0,0,0
490,0,3,0,0,0
491,0,1,1,0,0
492,0,3,0,0,0
493,0,2,1,0,0
494,0,3,1,0,0
495,0,1,2,0,0
496,0,2,0,0,0
497,0,1,0,0,0
498,0,1,0,0,0
499,0,2,1,0,0
500,0,1,0,0,0
501,0,2,0,0,0
502,0,4,1,0,0
503,0,2,1,0,0
504,0,3,0,0,0
505,0,1,0,0,0
506,0,2,0,0,0
507,0,2,0,0,0
508,0,1,0,0,0
509,0,2,0,0,0
510,0,3,0,0,0
511,0,2,0,0,0
512,0,5,0,0,0
513,0,8,0,0,0
514,0,1,0,0,0
515,0,2,0,0,0
516,0,1,0,0,0
517,0,2,0,0,0
518,0,3,0,0,0
519,0,2,0,0,0
520,0,1,0,0,0
521,0,3,0,0,0
522,0,2,1,0,0
523,0,2,1,0,0
524,0,0,0,0,0
525,0,3,1,0,0
526,0,1,1,0,0
527,0,2,0,0,0
528,0,2,0,0,0
529,0,2,0,0,0
530,0,2,0,0,0
531,0,0,1,0,0
532,0,2,0,0,0
533,0,1,2,0,0
534,0,3,2,0,0
535,0,2,0,0,0
536,0,1,0,0,0
537,0,1,0,0,0
538,0,1,0,0,0
539,0,4,3,0,0
540,0,1,0,0,0
541,0,1,1,0,0
542,0,1,1,0,0
543,0,1,0,0,0
544,0,3,0,0,0
545,0,0,1,0,0
546,0,0,2,0,0
547,0,3,0,0,0
548,0,2,0,0,0
549,0,1,0,0,0
550,0,1,1,0,0
551,0,0,0,0,0
552,0,0,0,0,0
553,0,0,0,0,0
554,0,2,0,0,0
555,0,4,0,0,0
556,0,2,1,0,0
557,0,5,0,0,0
558,0,1,0,0,0
559,0,2,0,0,0
560,0,0,0,0,0
561,0,0,1,0,0
562,0,4,2,0,0
563,0,5,0,0,0
564,0,2,0,0,0
565,0,0,0,0,0
566,0,3,0,0,0
567,0,1,0,0,0
568,0,4,0,0,0
569,0,1,0,0,0
570,0,1,0,0,0
571,0,7,0,0,0
572,0,2,0,0,0
573,0,3,0,0,0
574,0,1,0,0,0
575,0,1,0,0,0
576,0,2,0,0,0
577,0,5,0,0,0
578,0,1,1,0,0
579,0,2,0,0,0
580,0,1,0,0,0
581,0,4,0,0,0
582,0,2,0,0,0
583,0,0,0,0,0
584,0,3,0,0,0
585,0,3,0,0,0
586,0,0,1,0,0
587,0,3,0,0,0
588,0,0,1,0,0
589,0,2,0,0,0
590,0,2,0,0,0
591,0,3,0,0,0
592,0,2,0,0,0
593,0,2,0,0,0
594,0,2,0,0,0
595,0,4,1,0,0
596,0,5,0,0,0
597,0,2,1,0,0
598,0,4,0,0,0
599,0,2,1,0,0
600,0,0,0,0,0
601,0,2,0,0,0
602,0,1,0,0,0
603,0,3,1,0,0
604,0,1,0,0,0
605,0,3,0,0,0
606,0,3,1,0,0
607,0,1,0,0,0
608,0,1,0,0,0
609,0,2,0,0,0
610,0,3,0,0,0
611,0,1,0,0,0
612,0,4,0,0,0
613,0,0,0,0,0
614,0,2,0,0,0
615,0,5,0,0,0
616,0,4,0,0,0
617,0,1,0,0,0
618,0,1,2,0,0
619,0,3,1,0,0
620,0,1,0,0,0
621,0,1,0,0,0
622,0,3,0,0,0
623,0,1,0,0,0
624,0,5,1,0,0
625,0,1,1,0,0
626,0,3,0,0,0
627,0,1,0,0,0
628,0,1,0,0,0
629,0,3,0,0,0
630,0,3,1,0,0
631,0,3,1,0,0
632,0,1,0,0,0
633,0,2,0,0,0
634,0,2,0,0,0
635,0,3,1,0,0
636,0,2,1,0,0
637,0,2,1,0,0
638,0,2,0,0,0
639,0,1,1,0,0
640,0,1,1,0,0
641,0,2,2,0,0
642,0,0,0,0,0
643,0,3,0,0,0
644,0,0,1,0,0
645,0,6,3,0,0
646,0,2,1,0,0
647,0,0,0,0,0
648,0,1,0,0,0
649,0,0,1,0,0
650,0,2,0,0,0
651,0,1,0,0,0
652,0,3,1,0,0
653,0,2,0,0,0
654,0,2,0,0,0
655,0,2,0,0,0
656,0,2,0,0,0
657,0,1,0,0,0
658,0,1,0,0,0
