0,1,0,1,1,1
1,0,2,1,1,0
2,0,3,1,1,0
3,0,2,0,1,0
4,0,1,0,1,0
5,0,1,0,1,0
6,0,0,0,1,0
7,0,0,0,1,0
8,0,2,0,1,0
9,0,2,0,1,0
10,0,1,0,1,0
11,0,1,0,1,0
12,0,0,0,1,0
13,0,3,0,1,0
14,0,1,0,1,0
15,0,0,0,1,0
16,0,3,1,1,0
17,0,1,0,1,0
18,1,2,1,2,1
19,1,2,0,2,1
20,1,0,0,2,1
21,1,0,0,2,1
22,1,5,0,2,1
23,1,1,0,2,1
24,1,0,0,2,1
25,1,1,0,2,1
26,1,0,0,2,1
27,0,0,0,2,0
28,0,2,0,2,0
29,0,2,0,2,0
30,0,1,2,2,0
31,0,3,0,2,0
32,0,2,0,2,0
33,0,1,1,2,0
34,0,1,0,2,0
35,0,3,0,2,0
36,0,0,1,2,0
37,0,0,1,2,0
38,0,1,0,2,0
39,0,0,1,2,0
40,0,0,0,2,0
41,0,2,1,2,0
42,0,0,0,2,0
43,0,1,0,2,0
44,0,3,0,2,0
45,0,1,0,2,0
46,0,2,1,2,0
47,0,0,0,2,0
48,0,1,0,2,0
49,0,0,0,2,0
50,0,0,0,2,0
51,0,0,1,2,0
52,0,1,0,2,0
53,0,3,1,2,0
54,0,2,1,2,0
55,0,1,1,2,0
56,0,1,0,2,0
57,0,0,1,2,0
58,0,0,2,2,0
59,0,1,2,2,0
60,0,1,0,2,0
61,0,0,0,2,0
62,0,1,0,2,0
63,0,2,0,2,0
64,0,2,0,2,0
65,0,0,1,2,0
66,0,3,0,2,0
67,0,1,0,2,0
68,0,1,0,2,0
69,0,2,0,2,0
70,0,2,0,2,0
71,0,2,1,2,0
72,0,2,0,2,0
73,0,0,0,2,0
74,0,0,0,2,0
75,0,0,0,2,0
76,0,1,0,2,0
77,0,1,0,2,0
78,0,2,1,2,0
79,0,2,0,2,0
80,0,0,0,2,0
81,0,2,1,2,0
82,0,1,0,2,0
83,0,1,0,2,0
84,0,3,0,2,0
85,0,2,1,2,0
86,0,1,1,2,0
87,0,2,1,2,0
88,0,2,0,2,0
89,0,0,1,2,0
90,0,1,0,2,0
91,0,1,0,2,0
92,0,2,0,2,0
93,0,4,0,2,0
94,0,0,1,2,0
95,0,3,0,2,0
96,0,0,0,2,0
97,0,1,1,2,0
98,0,2,0,2,0
99,0,3,0,2,0
100,0,2,0,2,0
101,0,2,0,2,0
102,0,2,0,2,0
103,0,3,1,2,0
104,0,0,0,2,0
105,0,5,1,2,0
106,0,1,1,2,0
107,0,2,0,2,0
108,0,1,0,2,0
109,0,1,1,2,0
110,0,1,0,2,0
111,0,0,0,2,0
112,0,1,0,2,0
113,0,1,1,2,0
114,0,2,0,2,0
115,0,2,0,2,0
116,0,0,0,2,0
117,0,1,0,2,0
118,0,0,0,2,0
119,0,4,0,2,0
120,0,2,0,2,0
121,0,1,1,2,0
122,0,2,0,2,0
123,0,3,0,2,0
124,0,1,0,2,0
125,0,1,0,2,0
126,0,0,0,2,0
127,0,0,0,2,0
128,0,2,0,2,0
129,0,1,0,2,0
130,0,2,0,2,0
131,0,1,0,2,0
132,0,1,0,2,0
133,0,1,1,2,0
134,0,0,1,2,0
135,0,2,0,2,0
136,0,3,0,2,0
137,0,2,0,2,0
138,0,2,0,2,0
139,0,0,0,2,0
140,0,1,0,2,0
141,0,0,1,2,0
142,0,0,0,2,0
143,0,3,0,2,0
144,0,1,0,2,0
145,0,0,0,2,0
146,0,6,1,2,0
147,0,0,0,2,0
148,0,0,1,2,0
149,0,2,0,2,0
150,0,2,0,2,0
151,0,1,1,2,0
152,0,0,0,2,0
153,0,1,0,2,0
154,0,1,0,2,0
155,0,0,0,2,0
156,0,3,0,2,0
157,0,1,0,2,0
158,0,1,0,2,0
159,0,1,1,2,0
160,0,1,0,2,0
161,0,2,0,2,0
162,0,4,0,2,0
163,0,1,0,2,0
164,0,1,0,2,0
165,0,3,1,2,0
166,0,2,0,2,0
167,0,0,1,2,0
168,0,3,0,2,0
169,0,1,0,2,0
170,0,0,1,2,0
171,0,1,0,2,0
172,0,2,0,2,0
173,0,3,0,2,0
174,0,1,0,2,0
175,0,2,0,2,0
176,0,1,0,2,0
177,0,2,0,2,0
178,0,2,0,2,0
179,0,0,0,2,0
180,0,3,0,2,0
181,0,2,0,2,0
182,0,4,1,2,0
183,0,1,0,2,0
184,0,0,0,2,0
185,0,0,0,2,0
186,0,1,0,2,0
187,0,2,0,2,0
188,0,3,2,2,0
189,0,1,1,2,0
190,0,1,2,2,0
191,0,1,0,2,0
192,0,3,0,2,0
193,0,1,0,2,0
194,0,3,0,2,0
195,1,4,0,3,1
196,1,1,1,3,1
197,1,2,0,3,1
198,1,1,0,3,1
199,0,3,0,3,0
200,0,0,1,3,0
201,0,0,0,3,0
202,0,1,0,3,0
203,0,2,1,3,0
204,0,1,0,3,0
205,0,0,0,3,0
206,0,3,0,3,0
207,0,1,0,3,0
208,0,1,0,3,0
209,0,1,1,3,0
210,0,1,0,3,0
211,0,1,0,3,0
212,0,0,0,3,0
213,0,1,0,3,0
214,0,1,1,3,0
215,0,2,0,3,0
216,0,3,0,3,0
217,0,2,0,3,0
218,0,2,0,3,0
219,0,0,0,3,0
220,0,2,0,3,0
221,0,3,0,3,0
222,0,3,0,3,0
223,0,3,1,3,0
224,0,1,1,3,0
225,0,5,0,3,0
226,0,0,0,3,0
227,0,2,0,3,0
228,0,2,1,3,0
229,0,2,0,3,0
230,0,1,0,3,0
231,0,1,0,3,0
232,0,1,0,3,0
233,0,1,1,3,0
234,0,1,0,3,0
235,0,1,0,3,0
236,0,2,0,3,0
237,0,0,0,3,0
238,0,0,0,3,0
239,0,3,0,3,0
240,0,0,0,3,0
241,0,1,1,3,0
242,0,5,0,3,0
243,0,0,1,3,0
244,0,2,1,3,0
245,0,1,0,3,0
246,0,2,0,3,0
247,0,1,0,3,0
248,0,0,2,3,0
249,0,3,1,3,0
250,0,2,0,3,0
251,0,3,0,3,0
252,0,3,0,3,0
253,0,2,0,3,0
254,0,1,1,3,0
255,0,1,0,3,0
256,0,2,0,3,0
257,0,3,0,3,0
258,0,1,0,3,0
259,0,0,0,3,0
260,0,2,0,3,0
261,0,2,0,3,0
262,0,2,0,3,0
263,0,1,0,3,0
264,0,2,1,3,0
265,0,3,1,3,0
266,0,2,1,3,0
267,0,3,0,3,0
268,0,3,0,3,0
269,0,3,0,3,0
270,0,2,0,3,0
271,0,0,0,3,0
272,0,1,0,3,0
273,0,3,0,3,0
274,0,0,0,3,0
275,0,2,0,3,0
276,0,1,0,3,0
277,0,0,0,3,0
278,0,1,0,3,0
279,0,1,0,3,0
280,0,1,0,3,0
281,0,2,0,3,0
282,0,2,0,3,0
283,0,2,0,3,0
284,0,1,0,3,0
285,0,1,0,3,0
286,0,2,0,3,0
287,0,1,0,3,0
288,0,2,0,3,0
289,0,3,0,3,0
290,0,2,0,3,0
291,0,3,0,3,0
292,0,1,0,3,0
293,0,2,0,3,0
294,1,1,0,4,1
295,1,1,0,4,1
296,1,1,0,4,1
297,1,2,0,4,1
298,0,2,1,4,0
299,0,3,0,4,0
300,0,1,0,4,0
301,0,2,2,4,0
302,0,1,1,3,0
303,0,0,0,3,0
304,0,1,0,3,0
305,0,1,1,3,0
306,0,1,1,3,0
307,0,5,0,3,0
308,0,2,0,3,0
309,0,2,0,3,0
310,0,3,0,3,0
311,0,1,0,3,0
312,0,1,0,3,0
313,0,0,0,3,0
314,0,2,0,3,0
315,0,3,0,3,0
316,0,1,0,3,0
317,0,3,0,3,0
318,0,1,0,3,0
319,0,1,0,3,0
320,0,3,0,3,0
321,0,4,1,3,0
322,0,2,1,3,0
323,0,1,0,3,0
324,0,2,0,3,0
325,0,1,0,3,0
326,0,0,0,3,0
327,0,1,1,3,0
328,0,2,0,2,0
329,0,2,0,2,0
330,0,4,0,2,0
331,0,2,0,2,0
332,0,2,0,2,0
